geoid,avgbrdist,medbrdist,stdbrdist,count,areasqft,countbldg,bldgareaft,pctcbbldg,dist_bldg_hght,avgbrdist_meters,avgbrdist_logtran
3.6061E+14,10.87744042,0,24.04146503,38312,111874,1,53883.88065,0.481647931,38.827224,3.315443842,239591.5695
3.6061E+14,8.337054906,0,21.25397093,217241,161685,36,91889.00064,0.568321122,11.13058,2.541134335,183635.8547
3.6061E+14,7.721173318,0,20.70335317,304864,203809,30,79262.48749,0.388905728,10.282797,2.353413627,170070.16
3.6061E+14,7.610231533,0,20.92298377,88096,68889.8,16,30187.75799,0.438203595,7.405618,2.319598571,167626.5046
3.6061E+14,9.613866486,0,22.40511092,364211,222760,16,114034.237,0.511915231,21.363674,2.930306505,211759.5013
3.6061E+14,7.125984424,0,20.84930823,155714,176854,43,87213.24514,0.493136967,7.451392,2.172000052,156960.2522
3.6061E+14,7.628282154,0,21.22745133,127860,174074,18,77304.32527,0.444088866,13.748045,2.325100401,168024.0959
3.6061E+14,8.783168043,0,21.13822955,136555,132354,19,73612.23818,0.556176906,14.096319,2.677109619,193462.1505
3.6061E+14,7.953245068,0,21.0707578,76136,68603,11,31731.02551,0.462531165,11.117805,2.424149097,175181.8804
3.6061E+14,12.47764712,0,25.02982881,259917,167520,24,95581.51302,0.570567771,26.642388,3.803186843,274838.4676
3.6061E+14,11.92878477,0,25.31207556,216875,134682,23,78822.89154,0.585251864,23.436413,3.635893599,262748.9698
3.6061E+14,8.988093981,0,22.49666685,41744,70335.6,1,38793.53345,0.551549051,26.123777,2.739571045,197975.9446
3.6061E+14,7.912980626,0,21.60234178,230552,142139,19,50258.5872,0.353587595,6.360539,2.411876495,174294.9971
3.6061E+14,14.79215561,0,26.78601067,234847,132201,3,58336.82113,0.441273675,28.79505,4.508649031,325818.9096
3.6061E+14,13.48746994,0,25.45394788,168873,104169,19,58404.34144,0.560669119,16.180652,4.110980838,297081.2953
3.6061E+14,9.960704526,0,22.12194977,132760,127701,26,56390.27644,0.441580539,12.178081,3.03602274,219399.1175
3.6061E+14,11.55774324,0,24.33564641,195936,171966,15,99317.13932,0.577539393,13.080274,3.522800139,254576.2361
3.6061E+14,10.61441241,0,23.75874531,337067,293978,23,185839.1834,0.63215337,20.988622,3.235272904,233797.992
3.6061E+14,8.87913689,0,22.30951145,284053,196912,20,103635.9451,0.526305888,22.722607,2.706360924,195576.005
3.6061E+14,7.326298628,0,21.15871163,112405,120002,24,62081.68057,0.517338716,13.314639,2.233055822,161372.4661
3.6061E+14,7.551339167,0,21.43183221,217700,182450,28,90958.79969,0.498540968,13.287239,2.301648178,166329.3139
3.6061E+14,8.361121523,0,20.97852947,58128,107385,30,62503.6407,0.582051876,11.183464,2.54846984,184165.9572
3.6061E+14,11.1433767,0,24.00719447,218745,132562,21,72756.1774,0.548846407,20.519084,3.396501217,245449.2057
3.6061E+14,8.386557981,0,21.79679567,253892,258416,41,141058.518,0.545858298,18.120681,2.556222873,184726.2325
3.6061E+14,11.74625635,0,24.79219666,200733,142469,22,59850.41058,0.42009427,16.54945,3.580258936,258728.5137
3.6061E+14,6.168049626,0,19.45292742,88965,68796.2,22,30665.35251,0.445741952,6.446711,1.880021526,135860.3341
3.6061E+14,11.97799416,0,25.55201536,191441,142956,17,65095.4139,0.455352793,21.733234,3.650892621,263832.8787
3.6061E+14,7.692906376,0,20.7185416,52148,96224.3,14,49806.90034,0.517612499,14.079551,2.344797863,169447.5391
3.6061E+14,17.12710748,0,29.85333436,393502,283953,18,171886.7155,0.605335093,27.038275,5.220342359,377249.647
3.6061E+14,7.485725519,0,20.84453115,341736,245373,48,130320.173,0.531110485,14.555801,2.281649138,164884.0771
3.6061E+14,14.35484955,0,26.40473179,132266,113168,6,43808.60491,0.387111241,38.948074,4.375358143,316186.6026
3.6061E+14,7.828184767,0,21.47080163,316535,146100,12,82956.02566,0.56780305,13.394366,2.386030717,172427.244
3.6061E+14,20.27509693,2.731973666,31.20837825,327964,140722,1,81658.77848,0.58028438,100.478346,6.179849545,446588.7291
3.6061E+14,9.495694792,0,22.40200975,269066,220109,30,134820.7934,0.612518313,16.013451,2.894287773,209156.5965
3.6061E+14,7.4212062,0,20.96650353,117521,219286,25,110649.385,0.504589372,8.50904,2.26198365,163462.9445
3.6061E+14,13.02203209,0,26.01780081,139325,185650,7,76131.4406,0.410080477,25.957801,3.969115382,286829.3445
3.6061E+14,10.27379274,0,23.12461442,260748,231355,33,140127.3045,0.605680899,20.623843,3.131452026,226295.3443
3.6061E+14,16.79680919,0,29.20011618,227112,185056,13,104430.1575,0.564316518,35.099159,5.11966744,369974.343
3.6061E+14,7.582688295,0,22.18247845,90864,219408,54,91668.92129,0.41780118,8.732279,2.311203392,167019.8244
